authority_name,url,tags
Northern Ireland,https://planningregister.planningsystemni.gov.uk/simple-search,northernireland belfast
North Tyneside,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/search.do?action=advanced,england tyneandwear
Northumberland,https://publicaccess.northumberland.gov.uk/online-applications/search.do?action=advanced,england
Nottingham,https://publicaccess.nottinghamcity.gov.uk/online-applications/search.do?action=advanced,nottingham eastmidlands england
Old Oak and Park Royal Development Corporation,https://planning.agileapplications.co.uk/opdc,london developmentcorporations londondevelopmentcorporations
Oldham,https://planningpa.oldham.gov.uk/online-applications/search.do?action=advanced,england greatermanchester
Peterborough,https://planpa.peterborough.gov.uk/online-applications/search.do?action=advanced,england
Plymouth,https://planning.plymouth.gov.uk/online-applications/search.do?action=advanced,england
Poole,https://boppa.poole.gov.uk/online-applications/search.do?action=advanced,england
Portsmouth,https://publicaccess.portsmouth.gov.uk/online-applications/search.do?action=advanced,england
Redbridge,https://planning.redbridge.gov.uk/,london londonboroughs
Richmond,https://planning.richmond.gov.uk/richmond/search-applications/,london londonboroughs
Rochdale,https://publicaccess.rochdale.gov.uk/online-applications/search.do?action=advanced,england greatermanchester
Rutland,https://publicaccess.rutland.gov.uk/online-applications/search.do?action=advanced,england
Salford,https://publicaccess.salford.gov.uk/publicaccess/search.do?action=advanced,england greatermanchester
Sefton,https://pa.sefton.gov.uk/online-applications/search.do?action=advanced,england merseyside liverpoolcityregion
Sheffield,https://planningapps.sheffield.gov.uk/online-applications/search.do?action=advanced,england
Solihull,https://publicaccess.solihull.gov.uk/online-applications/search.do?action=advanced,england westmidlands
Southend-on-Sea,https://publicaccess.southend.gov.uk/online-applications/search.do?action=advanced,england
South Downs,https://planningpublicaccess.southdowns.gov.uk/online-applications/search.do?action=advanced,nationalparks england
Southampton,https://planningpublicaccess.southampton.gov.uk/online-applications/search.do?action=advanced,england
South Gloucestershire,https://developments.southglos.gov.uk/online-applications/search.do?action=advanced,england
South Tyneside,https://planning.southtyneside.info/Northgate/PlanningExplorer/GeneralSearch.aspx,england tyneandwear
Southwark,https://planning.southwark.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
St. Helens,https://publicaccess.sthelens.gov.uk/online-applications/search.do?action=advanced,england merseyside liverpoolcityregion
Stockport,https://planning.stockport.gov.uk/PlanningData-live/search.do?action=advanced,england greatermanchester
Stockton-on-Tees,https://www.developmentmanagement.stockton.gov.uk/online-applications/search.do?action=advanced,england
Stoke-on-Trent,https://planning.stoke.gov.uk/online-applications/search.do?action=advanced,england
Sunderland,https://www.sunderland.gov.uk/online-applications/search.do?action=advanced,england tyneandwear
Sutton,https://planningregister.sutton.gov.uk/online-applications/search.do?action=advanced,london londonboroughs outerlondon southlondon england
Swindon,http://pa.swindon.gov.uk/publicaccess/search.do?action=advanced,england
Tameside,https://public.tameside.gov.uk/plan/f422planapp.asp,england greatermanchester
Thurrock,https://regs.thurrock.gov.uk/online-applications/search.do?action=advanced,england
Torbay,https://www.torbay.gov.uk/newpublicaccess/search.do?action=advanced,""
Tower Hamlets,https://development.towerhamlets.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
Trafford,https://publicaccess.trafford.gov.uk/online-applications/search.do?action=advanced,england greatermanchester
Wakefield,https://planning.wakefield.gov.uk/online-applications/search.do?action=advanced,england
Waltham Forest,https://planning.walthamforest.gov.uk/planning/search-applications,london londonboroughs
Wandsworth,https://planning.wandsworth.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,london innerlondon southlondon england londonboroughs
West Berkshire,https://publicaccess.westberks.gov.uk/online-applications/search.do?action=advanced,england
Westminster,https://idoxpa.westminster.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
Wigan,https://apps.wigan.gov.uk/planapps/PlanAppsAppSearch.asp,england greatermanchester
Windsor and Maidenhead,https://publicaccess.rbwm.gov.uk/online-applications/search.do?action=advanced,england
Wirral,https://planning.wirral.gov.uk/online-applications/search.do?action=advanced,wirral england merseyside liverpoolcityregion
Wolverhampton,https://planningonline.wolverhampton.gov.uk/online-applications/search.do?action=advanced,england westmidlands
York,https://planningaccess.york.gov.uk/online-applications/search.do?action=advanced,england
